"Entity Name","Attribute Is PK","Attribute Is FK","Attribute Required","Attribute Name","Entity Id","Child Relationship Id","Child Relationship Name","Child Relationship Parent to Child Rule","Child Relationship Child to Parent Rule","Child Relationship Cardinality","Child Relationship Null Option","Parent Entity Name","Parent Entity Id","Parent Relationship Id","Parent Relationship Name","Parent Relationship Parent to Child Phrase","Parent Relationship Child to Parent Phrase","Parent Relationship Cardinality","Parent Relationship Parent to Child Rule","Parent Relationship Child to Parent Rule","Child Entity Id","Child Entity Name"
RCIVIL.VT_ESTUDIOS_CURSADO,Yes,No,Yes,ID_ESTUDIO_CURSADO,{E5CAA2C3-4C2C-4692-A95A-06B33223B83C}+00000000,{746BA382-F3E9-4FCE-A984-0D0168BD672F}+00000000,FK_REL_VINC_ESTU_CURS,"A RCIVIL.VT_ESTUDIOS_CURSADO FK_REL_VINC_ESTU_CURS zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one RCIVIL.VT_ESTUDIOS_CURSADOs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.VT_ESTUDIOS_CURSADO,{E5CAA2C3-4C2C-4692-A95A-06B33223B83C}+00000000,,,,,,,,,
RCIVIL.VT_ESTUDIOS_CURSADO,,,,,{E5CAA2C3-4C2C-4692-A95A-06B33223B83C}+00000000,{BB14921C-9229-46F3-85E3-940B52D58F26}+00000000,R/64,"A RCIVIL.VT_ESTUDIOS_CURSADO is associated with zero, one or more T_IMPLICADOS_LLAMADA_102s.","A T_IMPLICADOS_LLAMADA_102 is associated with zero or one RCIVIL.VT_ESTUDIOS_CURSADOs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.VT_ESTUDIOS_CURSADO,{E5CAA2C3-4C2C-4692-A95A-06B33223B83C}+00000000,,,,,,,,,
RCIVIL.VT_PK_PERSONA,Yes,No,Yes,ID_NUMERO,{EDFA82B9-7603-4A2F-9015-60314123705B}+00000000,{57CA0AC8-059B-4A2A-A782-3DE2C648870F}+00000000,R/12,"A RCIVIL.VT_PK_PERSONA is associated with zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one RCIVIL.VT_PK_PERSONAs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.VT_PK_PERSONA,{EDFA82B9-7603-4A2F-9015-60314123705B}+00000000,,,,,,,,,
RCIVIL.VT_PK_PERSONA,Yes,No,Yes,ID_SEXO,{EDFA82B9-7603-4A2F-9015-60314123705B}+00000000,{99032629-45E2-4372-95B8-0A1E6DB4A7A0}+00000000,R/18,"A RCIVIL.VT_PK_PERSONA is associated with zero, one or more T_INSTITUCIONESs.","A T_INSTITUCIONES is associated with zero or one RCIVIL.VT_PK_PERSONAs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.VT_PK_PERSONA,{EDFA82B9-7603-4A2F-9015-60314123705B}+00000000,,,,,,,,,
RCIVIL.VT_PK_PERSONA,Yes,No,Yes,NRO_DOCUMENTO,{EDFA82B9-7603-4A2F-9015-60314123705B}+00000000,{2BFE4EE6-A75D-4E60-BF73-11C90D7EF0E8}+00000000,R/19,"A RCIVIL.VT_PK_PERSONA is associated with zero, one or more T_LEGAJOSs.","A T_LEGAJOS is associated with zero or one RCIVIL.VT_PK_PERSONAs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.VT_PK_PERSONA,{EDFA82B9-7603-4A2F-9015-60314123705B}+00000000,,,,,,,,,
RCIVIL.VT_PK_PERSONA,Yes,No,Yes,PAI_COD_PAIS,{EDFA82B9-7603-4A2F-9015-60314123705B}+00000000,{DA4CC49A-A01D-4FEC-BFD6-FCE71EC4A7FD}+00000000,R/21,"A RCIVIL.VT_PK_PERSONA is associated with zero, one or more T_T_CARACT_X_PERSs.","A T_T_CARACT_X_PERS is associated with exactly one RCIVIL.VT_PK_PERSONA.",One-to-Zero-One-or-More,,RCIVIL.VT_PK_PERSONA,{EDFA82B9-7603-4A2F-9015-60314123705B}+00000000,,,,,,,,,
RCIVIL.VT_SEXOS,Yes,No,Yes,ID_SEXO,{D638C84B-C91F-4B00-806C-64D1B8891495}+00000000,{F3E29FEE-3D30-4EBE-9D4E-25B507B8C135}+00000000,R/55,"A RCIVIL.VT_SEXOS is associated with zero, one or more T_USR_LLAMA_102s.","A T_USR_LLAMA_102 is associated with zero or one RCIVIL.VT_SEXOSs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.VT_SEXOS,{D638C84B-C91F-4B00-806C-64D1B8891495}+00000000,,,,,,,,,
RCIVIL.VT_SEXOS,No,No,No,TIPO_SEXO,{D638C84B-C91F-4B00-806C-64D1B8891495}+00000000,{CE73D6E0-C6C6-4677-9C81-CBABEDBBE827}+00000000,R/63,"A RCIVIL.VT_SEXOS is associated with zero, one or more T_IMPLICADOS_LLAMADA_102s.","A T_IMPLICADOS_LLAMADA_102 is associated with zero or one RCIVIL.VT_SEXOSs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.VT_SEXOS,{D638C84B-C91F-4B00-806C-64D1B8891495}+00000000,,,,,,,,,
RCIVIL.VT_SITUACION_LABORAL,Yes,No,Yes,ID_SITUACION_LABORAL,{23F56DF8-D390-4DFA-B8D2-EE4956141EC4}+00000000,{262CCC1F-46E1-4469-8F59-14B5F7CE1C48}+00000000,FK_REL_VINC_SIT_LAB,"A RCIVIL.VT_SITUACION_LABORAL FK_REL_VINC_SIT_LAB zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one RCIVIL.VT_SITUACION_LABORALs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.VT_SITUACION_LABORAL,{23F56DF8-D390-4DFA-B8D2-EE4956141EC4}+00000000,,,,,,,,,
RCIVIL.VT_VINCULOS,Yes,No,Yes,ID_VINCULO,{C5654A77-98A2-4D1B-ADB5-82313DCA158F}+00000000,{78EF403B-8908-48CE-81EA-8B83858FC555}+00000000,FK_REL_VINC_TPO_VIN_F,"A RCIVIL.VT_VINCULOS FK_REL_VINC_TPO_VIN_F zero, one or more T_RELACIONES_VINCULARs.","A T_RELACIONES_VINCULAR is associated with zero or one RCIVIL.VT_VINCULOSs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.VT_VINCULOS,{C5654A77-98A2-4D1B-ADB5-82313DCA158F}+00000000,,,,,,,,,
